"_col0","lifespan","objects"
"2016-12-02 00:00:00.000","54159.11111111111","38"
"2017-12-07 00:00:00.000",,"28"
"2017-09-02 00:00:00.000",,"5"
"2017-01-20 00:00:00.000","0.0","6"
"2016-09-30 00:00:00.000","290858.3076923077","165"
"2016-09-22 00:00:00.000","346738.8604651163","159"
"2013-07-23 00:00:00.000","1682916.8918918918","80"
"2017-01-27 00:00:00.000","162306.0","78"
"2017-12-15 00:00:00.000",,"26"
"2016-07-28 00:00:00.000","280814.63636363635","53"
"2016-11-18 00:00:00.000","12590.818181818182","13"
"2018-01-27 00:00:00.000",,"6"
"2015-11-19 00:00:00.000",,"1"
"2018-11-24 00:00:00.000","9.5","3"
"2016-08-04 00:00:00.000","236317.0","6"
"2016-05-10 00:00:00.000","145267.30809595203","2062"
"2016-05-17 00:00:00.000","328414.9262295082","627"
"2017-05-03 00:00:00.000","83745.42857142857","154"
"2015-05-24 00:00:00.000","870330.1052631579","100"
"2017-05-09 00:00:00.000","133046.14285714287","149"
"2016-07-12 00:00:00.000","556760.421875","227"
"2017-03-01 00:00:00.000","344622.8333333333","41"
"2018-05-15 00:00:00.000","133196.0","8"
"2014-05-12 00:00:00.000","704462.0","3"
"2016-05-23 00:00:00.000","329280.1725663717","1875"
"2016-05-16 00:00:00.000","396806.6666666667","1017"
"2015-05-17 00:00:00.000","663395.9706666666","899"
"2017-02-28 00:00:00.000","114295.28571428571","229"
"2016-07-05 00:00:00.000","282681.2272727273","289"
"2016-02-23 00:00:00.000","213589.98104265402","544"
"2016-05-03 00:00:00.000","151161.05153203342","977"
"2015-05-18 00:00:00.000","826126.0116279069","388"
"2017-03-07 00:00:00.000","64272.444444444445","30"
"2016-03-01 00:00:00.000","95476.83333333333","12"
"2018-03-13 00:00:00.000",,"3"
"2017-05-10 00:00:00.000","391834.5","58"
"2017-02-15 00:00:00.000","152729.0","50"
"2018-05-09 00:00:00.000","12499.0","4"
"2015-03-03 00:00:00.000","708640.0","3"
"2016-03-28 00:00:00.000","427107.0","2"
"2018-07-04 00:00:00.000",,"1"
"2015-05-25 00:00:00.000","949705.6","186"
"2016-05-30 00:00:00.000","267114.39522058825","1057"
"2016-04-26 00:00:00.000","208868.48243992607","1088"
"2016-03-21 00:00:00.000","385725.5","30"
"2017-02-22 00:00:00.000",,"14"
"2018-03-07 00:00:00.000","63694.333333333336","7"
"2016-07-18 00:00:00.000",,"2"
"2018-02-22 00:00:00.000","155121.0","2"
"2017-04-03 00:00:00.000","54344.56626506024","808"
"2016-06-12 00:00:00.000","369188.3628318584","1597"
"2017-04-10 00:00:00.000","96106.74576271187","1425"
"2017-04-30 00:00:00.000","313643.5","480"
"2016-06-13 00:00:00.000","319113.36363636365","496"
"2016-06-26 00:00:00.000","322777.2247557003","796"
"2018-06-12 00:00:00.000","85670.66666666667","104"
"2018-06-05 00:00:00.000","61347.5","44"
"2018-04-16 00:00:00.000",,"18"
"2016-04-11 00:00:00.000","180423.0823529412","86"
"2016-07-03 00:00:00.000","264736.5681818182","141"
"2016-02-21 00:00:00.000","181606.1","20"
"2017-04-23 00:00:00.000","410245.3846153846","63"
"2018-04-30 00:00:00.000","1410.0","30"
"2015-04-12 00:00:00.000","9.0","1"
"2018-06-18 00:00:00.000",,"4"
"2018-04-03 00:00:00.000",,"17"
"2012-03-01 00:00:00.000","2217495.0","1"
"2018-03-27 00:00:00.000",,"2"
"2014-04-05 00:00:00.000","1187525.0","1"
"2016-04-10 00:00:00.000","152618.77464788733","84"
"2017-04-04 00:00:00.000","170990.0285714286","1156"
"2016-06-19 00:00:00.000","340453.5974025974","469"
"2016-04-04 00:00:00.000","367918.0792951542","807"
"2016-04-17 00:00:00.000","250335.27272727274","561"
"2018-06-11 00:00:00.000","222555.5","91"
"2017-06-25 00:00:00.000",,"8"
"2018-05-29 00:00:00.000","8416.0","5"
"2013-02-02 00:00:00.000","1360275.0","2"
"2018-08-07 00:00:00.000",,"2"
"2013-02-08 00:00:00.000","1658787.0","1"
"2017-06-26 00:00:00.000","499776.0","2"
"2016-07-31 00:00:00.000","528364.2888888889","267"
"2018-08-26 00:00:00.000",,"72"
"2015-09-11 00:00:00.000","744584.0","13"
"2016-08-20 00:00:00.000","347399.0","11"
"2013-08-16 00:00:00.000","1469657.0","7"
"2017-08-13 00:00:00.000","347261.5","6"
"2018-12-24 00:00:00.000",,"1"
"2016-08-27 00:00:00.000",,"1"
"2014-11-06 00:00:00.000","921541.5","2"
"2017-04-17 00:00:00.000","195824.52272727274","609"
"2017-04-16 00:00:00.000","191096.75757575757","327"
"2016-02-07 00:00:00.000","290227.4240506329","187"
"2018-04-23 00:00:00.000",,"12"
"2018-08-14 00:00:00.000",,"31"
"2019-04-16 00:00:00.000","4.0","2"
"2015-06-20 00:00:00.000","948225.0","1"
"2016-04-23 00:00:00.000","93300.0","1"
"2016-08-07 00:00:00.000","133433.19823788546","271"
"2017-08-27 00:00:00.000","242604.5","4"
"2017-01-13 00:00:00.000","81476.71428571429","155"
"2016-08-14 00:00:00.000","570342.36","49"
"2016-11-04 00:00:00.000","323262.4","62"
"2017-08-26 00:00:00.000","155177.0","31"
"2017-12-25 00:00:00.000",,"24"
"2019-01-06 00:00:00.000",,"2"
"2016-01-15 00:00:00.000","117656.0","1"
"2017-01-14 00:00:00.000",,"1"
"2015-08-01 00:00:00.000","410413.0","1"
"2016-06-27 00:00:00.000","410687.8620689655","317"
"2015-05-16 00:00:00.000","789400.0917431193","293"
"2016-05-02 00:00:00.000","258388.44256756757","1579"
"2016-02-28 00:00:00.000","149747.0","129"
"2017-05-08 00:00:00.000","1123.0","65"
"2015-04-26 00:00:00.000","554760.3361344538","165"
"2016-07-11 00:00:00.000","454361.5","94"
"2016-02-22 00:00:00.000","263935.76666666666","77"
"2018-03-06 00:00:00.000","41722.5","21"
"2019-04-17 00:00:00.000",,"4"
"2013-04-27 00:00:00.000",,"1"
"2018-07-17 00:00:00.000",,"1"
"2017-11-17 00:00:00.000","115680.4","277"
"2016-11-10 00:00:00.000","212846.58823529413","62"
"2016-09-02 00:00:00.000","84811.1","69"
"2016-11-03 00:00:00.000","545720.6666666666","49"
"2016-11-24 00:00:00.000","303664.0","7"
"2014-09-09 00:00:00.000","904536.0","2"
"2017-09-14 00:00:00.000","247998.0","18"
"2018-11-09 00:00:00.000",,"2"
"2016-11-30 00:00:00.000","231531.52380952382","191"
"2016-11-16 00:00:00.000","363973.5","18"
"2016-11-11 00:00:00.000","385793.0","105"
"2013-07-15 00:00:00.000","1819107.0","30"
"2017-11-03 00:00:00.000",,"4"
"2018-11-16 00:00:00.000",,"14"
"2018-11-23 00:00:00.000",,"2"
"2013-09-23 00:00:00.000","696125.5","4"
"2017-01-15 00:00:00.000","201987.54166666666","440"
"2016-09-11 00:00:00.000","356738.865","864"
"2017-08-22 00:00:00.000","410592.0","49"
"2018-11-05 00:00:00.000",,"4"
"2018-10-30 00:00:00.000",,"3"
"2015-10-25 00:00:00.000","963510.0","5"
"2013-11-28 00:00:00.000","2.0","1"
