"_col0","lifespan_minutes","changesets","objects"
"2018-03-24 00:00:00.000","19238.0","1","2"
"2016-05-26 00:00:00.000","297805.8805970149","40","1971"
"2015-05-20 00:00:00.000","979241.8450413223","5","688"
"2017-05-06 00:00:00.000","158972.5","6","57"
"2016-07-08 00:00:00.000","120489.15","9","32"
"2016-07-01 00:00:00.000","303712.1836734694","46","161"
"2018-05-05 00:00:00.000","33100.0","3","33"
"2016-05-06 00:00:00.000","203442.49425287356","23","229"
"2018-07-14 00:00:00.000",,"1","8"
"2016-04-22 00:00:00.000","384747.45714285714","6","60"
"2017-07-07 00:00:00.000",,"1","1"
"2016-06-03 00:00:00.000","413216.57627118647","90","2945"
"2016-06-10 00:00:00.000","204164.3848101266","41","1987"
"2016-05-14 00:00:00.000","272646.8448275862","19","1033"
"2018-05-06 00:00:00.000",,"1","3"
"2015-05-28 00:00:00.000","699609.4117647059","6","24"
"2018-05-14 00:00:00.000",,"5","8"
"2016-07-22 00:00:00.000","720679.6666666666","2","15"
"2017-03-04 00:00:00.000","250.0","2","4"
"2016-03-18 00:00:00.000","4212.666666666667","3","3"
"2015-06-04 00:00:00.000","602713.0","1","5"
"2017-03-05 00:00:00.000","87515.0","1","14"
"2016-11-27 00:00:00.000","565365.2666666667","11","121"
"2017-11-14 00:00:00.000","349432.4666666667","54","619"
"2017-11-20 00:00:00.000",,"26","89"
"2016-09-12 00:00:00.000","436231.63313609466","17","506"
"2016-09-26 00:00:00.000","122317.6","13","300"
"2016-11-15 00:00:00.000","382839.26666666666","13","118"
"2017-10-02 00:00:00.000","809647.90625","8","97"
"2017-09-05 00:00:00.000",,"2","2"
"2015-09-13 00:00:00.000","768945.0","1","8"
"2017-11-07 00:00:00.000",,"1","5"
"2013-08-02 00:00:00.000","1574369.462686567","2","77"
"2016-11-21 00:00:00.000","5165.285714285715","11","77"
"2017-01-29 00:00:00.000","208537.66666666666","13","283"
"2016-11-14 00:00:00.000","202281.72222222222","14","23"
"2017-01-30 00:00:00.000","211511.84615384616","19","430"
"2016-09-05 00:00:00.000","110378.0","4","70"
"2016-10-02 00:00:00.000","429137.4","9","82"
"2018-01-23 00:00:00.000",,"2","2"
"2016-08-01 00:00:00.000","376887.5","10","253"
"2015-12-27 00:00:00.000","96256.44444444444","7","9"
"2016-08-08 00:00:00.000","362627.26666666666","7","42"
"2016-12-05 00:00:00.000","295641.6","12","98"
"2017-10-09 00:00:00.000","214576.0","5","6"
"2016-10-24 00:00:00.000","634921.0","12","40"
"2016-12-12 00:00:00.000",,"2","145"
"2017-11-29 00:00:00.000",,"5","16"
"2017-10-17 00:00:00.000","161710.0","5","646"
"2013-09-29 00:00:00.000","975953.75","4","4"
"2016-07-26 00:00:00.000","820608.0714285715","3","36"
"2011-08-18 00:00:00.000","47221.0","1","2"
"2017-12-06 00:00:00.000","185944.33333333334","32","70"
"2016-08-02 00:00:00.000","223814.9","5","66"
"2015-08-03 00:00:00.000","276257.652173913","11","23"
"2017-11-22 00:00:00.000","68427.0","61","306"
"2016-09-13 00:00:00.000","307184.2641509434","9","253"
"2017-10-03 00:00:00.000","159031.2","1","41"
"2017-10-10 00:00:00.000",,"3","6"
"2016-10-04 00:00:00.000","268174.17142857146","19","193"
"2016-10-17 00:00:00.000","36.0","10","28"
"2017-12-05 00:00:00.000","235776.0","4","7"
"2016-08-15 00:00:00.000","336144.6","6","71"
"2016-10-03 00:00:00.000","276250.16","2","25"
"2016-09-20 00:00:00.000","63407.0","1","1"
"2018-12-18 00:00:00.000",,"1","1"
"2016-06-28 00:00:00.000","673714.8441558442","20","191"
"2017-02-01 00:00:00.000","183222.32","18","129"
"2018-04-26 00:00:00.000",,"2","3"
"2018-08-10 00:00:00.000",,"3","12"
"2016-04-19 00:00:00.000","238634.03846153847","6","122"
"2016-01-20 00:00:00.000","1665187.0","1","1"
"2017-12-01 00:00:00.000","352336.36363636365","167","661"
"2016-12-01 00:00:00.000","307482.4","6","71"
"2016-12-02 00:00:00.000","54159.11111111111","9","38"
"2017-01-20 00:00:00.000","0.0","2","6"
"2017-12-07 00:00:00.000",,"4","28"
"2016-09-09 00:00:00.000","239230.7983870968","3","609"
"2013-08-06 00:00:00.000","1660296.5","2","32"
"2017-11-18 00:00:00.000",,"1","34"
"2017-09-02 00:00:00.000",,"1","5"
"2017-12-08 00:00:00.000","194696.92857142858","106","463"
"2016-12-08 00:00:00.000","481524.6","11","92"
"2018-02-09 00:00:00.000",,"3","8"
"2010-08-08 00:00:00.000","587173.0","1","1"
"2013-07-24 00:00:00.000","1677234.3548387096","1","35"
"2011-09-20 00:00:00.000","2205080.6666666665","1","3"
"2016-12-22 00:00:00.000","576995.0","3","4"
"2017-09-22 00:00:00.000",,"1","1"
"2014-09-11 00:00:00.000","11743.0","1","1"
"2015-09-18 00:00:00.000","227288.0","1","1"
"2016-04-07 00:00:00.000","633674.673716012","14","1195"
"2017-03-31 00:00:00.000","67160.47826086957","63","1439"
"2017-04-06 00:00:00.000","193641.7913669065","88","1860"
"2017-04-13 00:00:00.000","217367.44897959183","38","175"
"2016-03-31 00:00:00.000","312593.42961608776","111","971"
"2016-06-02 00:00:00.000","229943.97303370785","36","1172"
"2017-04-12 00:00:00.000","161446.11111111112","12","122"
"2016-02-09 00:00:00.000","190988.68085106384","2","64"
"2016-06-15 00:00:00.000","351457.5470588235","19","275"
"2016-03-24 00:00:00.000","203966.5","7","17"
"2015-04-28 00:00:00.000","946258.7941176471","19","80"
"2018-06-07 00:00:00.000",,"7","42"
"2017-06-15 00:00:00.000","403189.0","24","160"
"2016-04-12 00:00:00.000","155616.57142857142","7","114"
"2014-04-14 00:00:00.000","971688.1666666666","1","9"
"2015-06-30 00:00:00.000",,"3","4"
"2017-03-23 00:00:00.000","368724.0","2","3"
"2018-04-19 00:00:00.000",,"1","1"
"2018-05-25 00:00:00.000",,"2","11"
"2018-05-23 00:00:00.000","391951.0","7","47"
"2015-05-04 00:00:00.000","624622.3658536585","6","473"
"2016-03-15 00:00:00.000","103988.14285714286","12","21"
"2018-02-21 00:00:00.000","50766.333333333336","5","15"
"2017-04-26 00:00:00.000","331999.27777777775","32","539"
"2018-05-22 00:00:00.000",,"3","16"
"2019-05-22 00:00:00.000","2.0","1","1"
"2015-05-12 00:00:00.000","4093.259259259259","3","80"
"2015-05-17 00:00:00.000","663395.9706666666","30","899"
"2016-07-05 00:00:00.000","282681.2272727273","17","289"
"2015-05-18 00:00:00.000","826126.0116279069","66","388"
"2017-05-10 00:00:00.000","391834.5","8","58"
"2016-05-16 00:00:00.000","396806.6666666667","46","1017"
"2016-05-23 00:00:00.000","329280.1725663717","43","1875"
"2017-02-28 00:00:00.000","114295.28571428571","15","229"
"2016-05-03 00:00:00.000","151161.05153203342","23","977"
"2017-02-15 00:00:00.000","152729.0","2","50"
