"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2017-05-17 00:00:00.000","154315.0","2","18","18"
"2011-04-01 00:00:00.000","2116642.1764705884","2","20","20"
"2018-03-29 00:00:00.000",,"1","5","5"
"2017-06-06 00:00:00.000",,"1","13","13"
"2010-11-20 00:00:00.000","1559940.0","1","9","9"
"2013-05-27 00:00:00.000","237435.0","1","2","2"
"2018-03-15 00:00:00.000",,"1","1","1"
"2015-04-13 00:00:00.000",,"1","1","1"
"2013-11-08 00:00:00.000","42368.84355976423","45","11845","9800"
"2017-11-13 00:00:00.000","27816.666666666668","3","44","42"
"2017-09-10 00:00:00.000","159496.97368421053","1","38","38"
"2013-11-21 00:00:00.000","760378.2941176471","5","105","103"
"2017-10-23 00:00:00.000","60957.0","2","8","8"
"2016-08-22 00:00:00.000",,"1","1","1"
"2017-01-28 00:00:00.000",,"2","2","2"
"2017-11-12 00:00:00.000",,"1","1","1"
"2017-07-12 00:00:00.000","5321.25","2","230","220"
"2015-05-25 00:00:00.000","378329.1111111111","1","87","86"
"2017-05-16 00:00:00.000",,"3","8","8"
"2011-03-18 00:00:00.000","525381.3863636364","1","56","56"
"2011-03-24 00:00:00.000","718280.3214285715","1","33","33"
"2008-11-05 00:00:00.000","119615.0","1","1","1"
"2011-03-25 00:00:00.000","1099498.0","1","21","21"
"2015-05-11 00:00:00.000","742309.0833333334","1","28","28"
"2019-05-03 00:00:00.000",,"2","121","121"
"2018-03-01 00:00:00.000","11.5","1","5","3"
"2017-07-05 00:00:00.000",,"1","13","13"
"2013-01-19 00:00:00.000","326486.9411764706","1","18","18"
"2017-07-25 00:00:00.000",,"1","9","9"
"2013-03-09 00:00:00.000","382798.652173913","1","29","29"
"2017-05-30 00:00:00.000",,"1","2","2"
"2014-03-03 00:00:00.000",,"1","1","1"
"2019-05-22 00:00:00.000",,"1","1","1"
"2011-09-08 00:00:00.000","50541.0","1","3","3"
"2016-01-03 00:00:00.000","488866.6666666667","1","8","7"
"2016-11-20 00:00:00.000","16206.0","1","5","5"
"2008-07-14 00:00:00.000","58618.333333333336","1","3","3"
"2014-09-05 00:00:00.000","1175139.6666666667","1","3","3"
"2011-06-23 00:00:00.000","1062114.4","1","5","5"
"2013-07-18 00:00:00.000","82041.0","2","2","1"
"2011-06-16 00:00:00.000","158493.0","1","1","1"
"2016-11-13 00:00:00.000","830901.0","1","1","1"
"2013-04-02 00:00:00.000","14467.0","1","2","2"
"2018-06-15 00:00:00.000",,"1","10","10"
"2014-02-11 00:00:00.000","194908.0","2","20","20"
"2019-06-01 00:00:00.000",,"1","2","2"
"2014-02-10 00:00:00.000","489326.0","1","6","6"
"2018-04-06 00:00:00.000",,"1","10","10"
"2015-04-21 00:00:00.000","277613.0","1","1","1"
"2019-05-25 00:00:00.000",,"1","2","2"
"2014-06-03 00:00:00.000","150055.0","1","4","4"
"2017-02-02 00:00:00.000",,"1","1","1"
"2016-06-09 00:00:00.000",,"1","2","2"
"2018-06-08 00:00:00.000","6897.0","1","1","1"
"2011-02-19 00:00:00.000","717262.3181818182","1","47","47"
"2012-04-09 00:00:00.000","799500.7","2","12","12"
"2015-04-28 00:00:00.000","122112.11111111111","4","128","92"
"2013-04-15 00:00:00.000","203107.66666666666","1","8","8"
"2014-06-16 00:00:00.000","87123.23076923077","1","41","41"
"2011-02-12 00:00:00.000","770500.4935064935","2","77","76"
"2016-04-12 00:00:00.000",,"1","8","8"
"2011-02-13 00:00:00.000","218154.5","1","6","6"
"2013-06-10 00:00:00.000","198946.27272727274","1","25","25"
"2013-01-22 00:00:00.000","320445.28571428574","1","7","6"
"2016-04-07 00:00:00.000","494782.0","2","6","6"
"2017-06-01 00:00:00.000",,"2","8","8"
"2016-03-24 00:00:00.000",,"1","2","2"
"2010-11-21 00:00:00.000","139156.0","1","1","1"
"2014-04-15 00:00:00.000",,"1","1","1"
"2017-04-13 00:00:00.000",,"1","4","4"
"2019-04-05 00:00:00.000","7390.25","1","6","6"
"2017-04-06 00:00:00.000",,"1","1","1"
"2014-06-10 00:00:00.000","638476.0","1","1","1"
"2014-09-15 00:00:00.000","837941.4090909091","1","22","22"
"2011-07-02 00:00:00.000","455952.51515151514","1","33","31"
"2017-08-11 00:00:00.000","152122.0","1","9","9"
"2016-11-08 00:00:00.000","799548.3333333334","1","31","31"
"2012-09-16 00:00:00.000","308182.5","1","4","4"
